Serial_No,Drug_Name,Batch_No,Manufacturing_Date,Expiry_Date,Manufacturer,Failure_Reason,Laboratory,Drawn_By,Remarks,Status,Source,Document,Risk_Level
64,Dicyclomine Tablets IP,THY24010AL,Aug-24,Jul-26,"M/s.Hindustan Laboratories Limited, Plot No. 5-9, Survey No.38/2, Aliyali, Palghar (W), Dist. Palghat 401404 (M.S)",Description.,"Drugs Testing Laboratory, Madurai- 19",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
65,Calamine Lotion IP,2451,Jul-24,Jun-26,"M/s.Oscar Remedies Pvt Ltd, Oscar House, Badi Majra, Yamuna Nagar- 135001 (HR)",Content of zinc oxide,"Drugs Testing Laboratory, Chennai- 06",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
66,Vitamin B Complex with vitamin C (softgels),G03724,Apr-24,Mar-26,"M/s.Asoj Soft Caps Pvt Ltd, Asoj. Baroda-Halol Highway, Dist. Baroda-391510.Gujarat.",Content of all soft gelatine capsule have leaked and adhere to the strips making it impossible to take average net content,"Drugs Testing Laboratory, Madurai- 19",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
67,Aceclofenac Tablets IP 100mg,AF24009,Sep-24,Aug-26,"M/s.Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110.",Content of Aceclofenac,"Drugs Testing Laboratory, Madurai- 19",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
68,Clonit-S (Clobetasol Propionate and Salicylic Acid Ointment),CS48,Nov-24,Oct-27,"M/s.Karlin Pharmaceuticals & Exports Private Limited, No.2/140, Indira Nagar, Valasaravakkam, Chennai-600087",Content of Clobetasol Propionate and Salicylic Acid,"Drugs Testing Laboratory, Madurai- 19",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
69,"Mobyle Gel (Diclofenac Diethylamine, Linseed Oil, Menthol and Methyl Salicylate Gel)",GX027,Jun-24,May-26,"M/s.SGS Formulation Pvt Ltd, S- 111, SIDCO Industrial Estate, Kakkalur-602003, Thiruvallur (Dist), Tamilnadu, India",Content of Methyl Salicylate and Menthol,"Drugs Testing Laboratory, Madurai- 19",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
70,Telmisartan Tablets IP 40mg,TS24047,Oct-24,Dec-25,"M/s. Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110",Dissolution of Telmisartan Tablets,"Drugs Testing Laboratory, Chennai- 06.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
71,Telmisartan Tablets IP 40mg,TS24042,Oct-24,Dec-25,"M/s. Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110",Dissolution of Telmisartan Tablets,"Drugs Testing Laboratory, Chennai- 06.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
72,Olagress MD 2.5,D2250101,Jan-25,Dec-26,"M/s.Standford Laboratories Private Limited, 8, Industrial Area, Mehatpur, Dist. Una, HP-174315 Mktd by: La renon Healthcare Private Limited, 207-208, Iscon Elegance, Prahlad, Nagar, Cross Road, SG Highway, Vejalpur, Ahmedabad, 380015, Guj.",The sample fails in the test for Description. Colour is not specified on the label.,Modern Drug Testing Laboratory Kathua (J&K),,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
73,Olagress MD 5,D2241286,Dec-24,Nov-26,"M/s.Standford Laboratories Private Limited, 8, Industrial Area, Mehatpur, Dist. Una, HP-174315 Mktd by: La renon Healthcare Private Limited, 207-208, Iscon Elegance, Prahlad, Nagar, Cross Road, SG Highway, Vejalpur, Ahmedabad, 380015, Guj.",Description,Modern Drug Testing Laboratory Kathua (J&K),,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
74,Pantoprazole Sodium IP Tablets 40mg (Lepan 40),SPT-1134,Dec-24,Nov-26,"M/s.Sheen Pharmaceuticals Wariana Industrial Complex- 144021 Mkt by: Lebon Pharmaceuticals 603,G-I, Flaourite, Moraj Residency, Palm Beach, Vashi Mumbai-400705",Dissolution and Assay contents of Pantoprazole. Pantoprazole Sodium Tablets IP 40 mg is labelled as Pantoprazole Sodium IP Tablets 40 mg.,Modern Drug Testing Laboratory Kathua (J&K),,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
75,Paracetamol Tablets IP ( 500mg) Jan Aushadhi,PCT1208,Aug-24,Jul-26,"M/s.Unicure India Ltd, C-21, 22& 23, Sector-3, Noida-201301 Distt. Gautam Budh Nagar (UP). Mkt by: Pharmaceuticals and Medical",Dissolution test of paracetamol.,Modern Drug Testing Laboratory Kathua (J&K),,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
76,"Paracetamol, Phenylphrine HCL, CPM & Caffeine Tablets (Goco-Plus)",DPT-1223,Sep-24,Aug-26,"M/s. Dexibo Pharma Pvt. Ltd, Khasra No.: 3,4,5 and Part of 4M, Plot No. 134/2, Shiv Ganga Industrial Estate, Lakeshwari, Bhagwanpur, Distt. Haridwar-247 661 (U.K.)",Disintegration,"State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
77,Rabeprazole Sodium Gastro Resistant Tablets IP 20mg (Rabilax),MP-241462,Mar-25,Feb-27,"M/s.Medistarkbiotech Pvt. Ltd., R.S.No. 68/4, 68/10, Sri Srinivasapuram, Agasampattu, Vanur Tk, Tamilnadu-605111",D i s i n t e g r ation.,"State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
78,"Ferrous Ascorbate, Folic Acid With Zinc Sulphate Tablets (Ronifer-XT)",24T374B,Feb-25,Jan-27,"M/s. Acumen Pharmaceuticals Pvt. Ltd., RS-2, Plot No.117-118, Kurumbapet, Villianur Commune, Puducherry-605 009",Assay (Ferrous Ascorbate),"State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
79,Domperidone & Paracetomal Tablets (Coxnil-P),FCPT-2401,Jun-24,May-26,"M/s.Verax Life Sciences Pvt. Ltd., K.No. 436, Vill Suramara Badd, Dat. Solan (H.P) 173205","(i) On the received sample, Presence of Spot defect was observed","State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
80,Levocetirizine Tablets IP 5mg (Lzetri 5),B2409435A,Sep-24,Aug-26,"M/s Bymaa Laboratories Private Limited., A-19,20&22, Electronic Park,PIPDIC Industrial Estate, Thirubhuvanai , Puducherry - 605 107","For the received sample, label is mentioned as ‘Approved colour used’ but common name of the permitted colour used in the formulation","State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
81,Pantoprazole Sodium Gastro Resistant Tablets IP 40mg (Panzo 40),MP-240840,Oct-24,Sep-26,"M/s.Medistark Biotech Pvt Ltd., R.S.No. 68/4,68/10, Sri Srinivasapauram, Agasampattu, Vanur Tk,Tamilnadu - 605 111","For the received sample, label is mentioned as ‘Approved colour used’","State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
82,Aceclofenac 100mg & Paracetamol 325 mg Tablets (Acejent P),MVT-1528,Mar-25,Feb-27,"M/s.Bonn Schtering Bio Sciences, Plot No.:64 & 65, 1 st Floor, Electronic Park, Thirubuvanai, Mannadipet Commune, Puducherry-605 107","The sample received is labelled as Aceclofenac 100mg & Paracetamol 325 mg Tablets (Acejent P), however Aceclofenac & Paracetamol Tablets is an official IP monograph (IP Addendum 2024) hence should be labelled as Aceclofenac & Paracetamol Tablets IP.","State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
83,Fluoxetine Capsules IP 20mg (Floxros-20 Capsules),SC-24286,Dec-24,Nov-26,"M/s.For Maxford Healthcare by Stafford Laboratories Pvt. Ltd.,","The label on the innermost container of the received Fluoxetine Capsules IP 20mg,sample does not","State lab, Puducherry",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
84,Mintcool (mouthwash),SOL-1698,Mar-24,Feb-26,M/s.Symbiosis Pharmaceuticals PvtLtd At .Ovatio Remedies Behind IITT Ergg Collage Trilokpur Road Kala Amb173030(sirmour)HP,Content of Chlorhexidine Gluconate .,"DTL Baddi, Distt. Solan H.P.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
85,Cifdoz-500 (Ciprofloxacin Hydrochloride Tablets IP),APGT24513,Jul-27,Jun-26,"M/s.Alpex Pharma Pvt. Ltd. Vill. Ogli Suketi Road, Kala Amb Distt. Sirmour H.P.",Dissolution of Ciprofloxacin Hydrochloride,"DTL Baddi, Distt. Solan H.P.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
86,Mecobalamin 2500mg. (NEROSAFE-XL),324-80,Jul-24,May-26,"Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences, 3481.1, Ramtara Market, 2nd Floor, Gali Bajrang Bali, Chawri Bazar, Delhi, 110006.",Content of Mecobalamin found to be 2.38 mg per ml (0.095%) against labelled claim of 2500 mg per ml. 1) Manufacturing By not mentioned on the label.,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
87,Calcium and Vitamin D3 Tablets IP,MT-25D59,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
88,Zinc Sulphate Dispersible Tablets IP,MT14501,Apr-25,Mar-27,"M/s. McW Healthcare (P) Ltd., 286 287A 287B Sector E Industrial Area Sanwer Road Indore 452015 (M.P.)",1. Uniformity Of Dispersion. 2. Disintegration Test (Some of the tablets disintegrates in the range of 4 minute to 7 minute against I.P limit of max. 60 seconds).,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
89,Zinc Sulphate Dispersible Tablets IP (N/A),MT14501,Apr-25,Mar-27,"M/s. McW Healthcare (P) Ltd., 286, 287-A, 287-B Sector E, Industrial Area, Sanwer Road, Indore (M.P.) India",1.Disintegration Test (Some of the tablets disintegrated after 4 min against the IP limit of NMT 60 Seconds).Uniformity Of Dispersion,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
90,TELMISARTAN and AMLODIPINE Tablets IP (Venpres-40 AM),VAM401K,Nov-24,Oct-26,"M/s.Leeford Healthcare Ltd. Plot No. 5, Apparel Park-cum- Industrial Area, Katha, Baddi, Distt. Solan 173205 (H.P), India",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
91,Calcium and Vitamin D3 Tablets IP,MT-25D60,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419,",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
92,Calcium and Vitamin D3 Tablets IP,MT-25D57,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
93,Calcium and Vitamin D3 Tablets IP,MT-25D55,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
94,Calcium and Vitamin D3 Tablets IP,MT-25D62,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
95,Calcium and Vitamin D3 Tablets IP,MT-25D63,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
96,Calcium and Vitamin D3 Tablets IP,MT-25D58,Apr-25,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
97,Moxifloxacin 10% Injection (MOX-4TH GEN),SL1220-21,Jan-24,Dec-26,"Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences, 3481.1, Ramtara Market, 2nd Floor, Gali Bajrang Bali, Chawri Bazar, Delhi, 110006.",Manufacturing By not mentioned on the label.,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
98,Mecobalamin Tablets (Methycobal),156905,Jan-25,Dec-27,"M/s.Hilton Pharma (Pvt.) Ltd., Plot No. 13-14, Sector 15, Korangi Industrial Area, Karachi","Nature of Tablets Such as Uncoated, Sugar Coated or Film Coated not Declared on The Label","State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
99,Nortriptyline HCI B.P (Sensival 25MG Tablets),926,Nov-24,Nov-27,"M/s.Pharmedic Laboratories (Pvt.) Ltd., 16km, Multan Road, Lahore","1.) Name Of Colour Added Not Declared On The Strips. 2.) nature of tablets such as uncoated, sugar coated or film coated not declared on the strips.","State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
100,Mec obalamin (Neocobal 0.5mg Tablets),7805,NM,Feb-26,"M/s.Pulse Pharmaceuticals (Pvt.) Ltd., Sua Asil, Raiwind Road Lhore",1) Description. 2) Tablets Are Film Coated Against Labelled Claim of Sugar- Coated Tablets. 3) The Content of Methylcobalamin,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
101,Calc ium and Vitamin D3 Tablets IP,MT-25D72,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419,",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
102,Calc ium and Vitamin D3 Tablets IP,MT-25D74,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
103,Calc ium and Vitamin D3 Tablets IP,MT-25D71,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
104,Calc ium and Vitamin D3 Tablets IP,MT-25D82,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
105,Calc ium and Vitamin D3 Tablets IP,MT-25D81,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
106,Oral Rehydration Salts IP,P25/0228,Jan-25,Apr-27,"M/s.Samkem, 15-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore-453331 (M.P.)",Net Weight/Sachet found to be 20.392gm against claim of 29.5gm/sachet.,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
107,Oral Rehydration Salts IP,P25/0236,May-25,Apr-27,"M/s.Samkem, 15-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore-453331 (M.P.)",Net Weight/Sachet found to be 20.286gm against claim of 20.5gm/sachet.,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
108,Calc ium & Vitamin D3 Tablets I.P,MT-25D56,Apr-25,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,"State Drugs Laboratory, Punjab",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
109,Calg ro-D3 Tablets Calcium and Vitamin D3 tablets,AC.2412,Dec-24,May-26,"M/s.Twins Pharma Plot No. 106, S V N a g a r , M a l l a p u r - 7 6 . T e l a n g a n a",1. The label should be m e n t i o n e d a s C a l c i u m A n d Vitamin D3 IP. But the letters IP is not mentioned after the product name. 2. Dissolution for Calcium.,"State Lab, Drugs C o n t r o l L a b o r a t o r y , Telangana.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
110,Leof enac-TH4 Tablets Aceclofenac & Thiocolchicoside tabets,T 2 5 - 0 5 4,F e b - 2 5,J a n - 2 7,"M / s . O a k s u n L i f e s c i e n c e s , P l o t n o . 36,37,38,46 & 47, Chengicherla (V), Medipally(M), Medchal- M a l k a j g i r i ( D i s t . ) , T . S . - 5 0 0 0 9 2 Telangana",T h e d r u g f a i l e d t o i n d i c a t e the common name of the Colour used in the Drug on t h e p r o d u c t l a b e l .,"S t a t e L a b , Drugs Control Laboratory, T e l a n g a n a .",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
111,PYR IL-650 Tablets Paracetamol Tablets IP 650 mg,T 2 5 . 0 3 9,F e b - 2 5,J a n - 2 7,"M / s . O a k s u n L i f e s c i e n c e s , P l o t n o . 36,37,38,46 & 47, Chengicherla ( V ) , M e d i p a l l y ( M ) , M e d c h a l - Malkajgiri (Dist.), T.S.-500092 Telangana","The product Paracetamol T a b l e t s i s o f f i c i a l i n t h e current edition of the Indian Pharmacopoeia. However, the letters IP is","S t a t e L a b , Drugs Control L a b o r a t o r y , Telangana.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,Medium
