S.No,Product/Drug Name,Batch No.,Manufacturing Date,Expiry Date,Manufactured By,NSQ Result,Reported by CDSCO Laboratory,Status,Source,Document,Manufact uring Date,S.No.,Name of Drugs/medical device/cosmetics,Unnamed_2,Unnamed_3,Date of Manufacture,Date of Expiry,Reason for failure,Drawn By,Firm’s reply,Remarks,Manufactu ring Date,Reported by State Laboratory,S. No.,Date of Manufa - cture,Manufactured by,Firm’s Reply,Manufacturi ng Date
60.,Azithromycin Suspension IP,BGL24257,,Sep-26,"M/s.Bestcare Formulations Pvt Ltd, Plot No.B-15 & 16, PIPDIC Electronic Park, Thirubhuvanai, Puducherry-605107",pH and the content of Azithromycin.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,Oct-24
61.,Lecetwin (Levocetirizine Hydrochloride Syrup),LWLS-2022,,Aug-26,"M/s.Wings Novitas Healthcare LLP, 43 & 44, HPSIDC, Industrial Area, Baddi-173205 (H.P)",Content of Levocetirizine Hydrochloride,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06",,,,,Sep-24
62.,Betamethasone Valerate Ointment IP 0.1% w/w,B82,,Jul-26,"M/s.Syndicate Pharma, 185/B, 185/B-1, 187/A & 188 Sector - F, Sanwer Road, Indore-452015",Content of Betamethasone in Betamethasone Valerate,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06",,,,,Aug-24
63.,Sepsadone 5% Ointment (Povidone-Iodine Ointment USP 5.0%w/w),DP-4259,,Jul-26,"M/s.Daffohils Laboratories Pvt Ltd, F-109-110, UPSIDC Industrial Area, Selaqui, Dehradun (U.K). 248011, (India).",Content of Available Iodine in Povidone-Iodine,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06",,,,,Aug-24
64.,Dicyclomine Tablets IP,THY24010AL,,Jul-26,"M/s.Hindustan Laboratories Limited, Plot No. 5-9, Survey No.38/2, Aliyali, Palghar (W), Dist. Palghat 401404 (M.S)",Description.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,Aug-24
65.,Calamine Lotion IP,2451,,Jun-26,"M/s.Oscar Remedies Pvt Ltd, Oscar House, Badi Majra, Yamuna Nagar- 135001 (HR)",Content of zinc oxide,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06",,,,,Jul-24
66.,Vitamin B Complex with vitamin C (softgels),G03724,,Mar-26,"M/s.Asoj Soft Caps Pvt Ltd, Asoj. Baroda-Halol Highway, Dist. Baroda-391510.Gujarat.",Content of all soft gelatine capsule have leaked and adhere to the strips making it impossible to take average net content,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,Apr-24
67.,Aceclofenac Tablets IP 100mg,AF24009,,Aug-26,"M/s.Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110.",Content of Aceclofenac,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,Sep-24
68.,Clonit-S (Clobetasol Propionate and Salicylic Acid Ointment),CS48,,10/2027,"M/s.Karlin Pharmaceuticals & Exports Private Limited, No.2/140, Indira Nagar, Valasaravakkam, Chennai-600087",Content of Clobetasol Propionate and Salicylic Acid,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,11/2024
69.,"Mobyle Gel (Diclofenac Diethylamine, Linseed Oil, Menthol and Methyl Salicylate Gel)",GX027,,May-26,"M/s.SGS Formulation Pvt Ltd, S- 111, SIDCO Industrial Estate, Kakkalur-602003, Thiruvallur (Dist), Tamilnadu, India",Content of Methyl Salicylate and Menthol,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Madurai- 19",,,,,Jun-24
70.,Telmisartan Tablets IP 40mg,TS24047,,Dec-25,"M/s. Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110",Dissolution of Telmisartan Tablets,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06.",,,,,Oct-24
71.,Telmisartan Tablets IP 40mg,TS24042,,Dec-25,"M/s. Eurokem Laboratories Pvt ltd, C-25, SIDCO Pharmaceutical Complex, Alathur, Thiruporur, 603110",Dissolution of Telmisartan Tablets,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"Drugs Testing Laboratory, Chennai- 06.",,,,,Oct-24
72.,Olagress MD 2.5,D2250101,,Dec-26,"M/s.Standford Laboratories Private Limited, 8, Industrial Area, Mehatpur, Dist. Una, HP-174315 Mktd by: La renon Healthcare Private Limited, 207-208, Iscon Elegance, Prahlad, Nagar, Cross Road, SG Highway, Vejalpur, Ahmedabad, 380015, Guj.",The sample fails in the test for Description. Colour is not specified on the label.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,Modern Drug Testing Laboratory Kathua (J&K),,,,,Jan-25
73.,Olagress MD 5,D2241286,,11/2026,"M/s.Standford Laboratories Private Limited, 8, Industrial Area, Mehatpur, Dist. Una, HP-174315 Mktd by: La renon Healthcare Private Limited, 207-208, Iscon Elegance, Prahlad, Nagar, Cross Road, SG Highway, Vejalpur, Ahmedabad, 380015, Guj.",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,Modern Drug Testing Laboratory Kathua (J&K),,,,,Dec-24
74.,Pantoprazole Sodium IP Tablets 40mg (Lepan 40),SPT-1134,,Nov-26,"M/s.Sheen Pharmaceuticals Wariana Industrial Complex- 144021 Mkt by: Lebon Pharmaceuticals 603,G-I, Flaourite, Moraj Residency, Palm Beach, Vashi Mumbai-400705",Dissolution and Assay contents of Pantoprazole. Pantoprazole Sodium Tablets IP 40 mg is labelled as Pantoprazole Sodium IP Tablets 40 mg.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,Modern Drug Testing Laboratory Kathua (J&K),,,,,Dec-24
75.,Paracetamol Tablets IP ( 500mg) Jan Aushadhi,PCT1208,,Jul-26,"M/s.Unicure India Ltd, C-21, 22& 23, Sector-3, Noida-201301 Distt. Gautam Budh Nagar (UP). Mkt by: Pharmaceuticals and Medical",Dissolution test of paracetamol.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,Modern Drug Testing Laboratory Kathua (J&K),,,,,Aug-24
,,,,,"Devices Bureau of India (PMBI) 8th Floor, Videocon Tower, Block E-1, Jhandewalan Extension, New Delhi-110055.",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,,,,,,
76.,"Paracetamol, Phenylphrine HCL, CPM & Caffeine Tablets (Goco-Plus)",DPT-1223,,Aug-26,"M/s. Dexibo Pharma Pvt. Ltd, Khasra No.: 3,4,5 and Part of 4M, Plot No. 134/2, Shiv Ganga Industrial Estate, Lakeshwari, Bhagwanpur, Distt. Haridwar-247 661 (U.K.)",Disintegration,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Sep-24
77.,Rabeprazole Sodium Gastro Resistant Tablets IP 20mg (Rabilax),MP-241462,,Feb-27,"M/s.Medistarkbiotech Pvt. Ltd., R.S.No. 68/4, 68/10, Sri Srinivasapuram, Agasampattu, Vanur Tk, Tamilnadu-605111",D i s i n t e g r ation.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Mar-25
78.,"Ferrous Ascorbate, Folic Acid With Zinc Sulphate Tablets (Ronifer-XT)",24T374B,,Jan-27,"M/s. Acumen Pharmaceuticals Pvt. Ltd., RS-2, Plot No.117-118, Kurumbapet, Villianur Commune, Puducherry-605 009",Assay (Ferrous Ascorbate),,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Feb-25
79.,Domperidone & Paracetomal Tablets (Coxnil-P),FCPT-2401,,May-26,"M/s.Verax Life Sciences Pvt. Ltd., K.No. 436, Vill Suramara Badd, Dat. Solan (H.P) 173205","(i) On the received sample, Presence of Spot defect was observed",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Jun-24
80.,Levocetirizine Tablets IP 5mg (Lzetri 5),B2409435A,,Aug-26,"M/s Bymaa Laboratories Private Limited., A-19,20&22, Electronic Park,PIPDIC Industrial Estate, Thirubhuvanai , Puducherry - 605 107","For the received sample, label is mentioned as ‘Approved colour used’ but common name of the permitted colour used in the formulation",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Sep-24
81.,Pantoprazole Sodium Gastro Resistant Tablets IP 40mg (Panzo 40),MP-240840,,Sep-26,"M/s.Medistark Biotech Pvt Ltd., R.S.No. 68/4,68/10, Sri Srinivasapauram, Agasampattu, Vanur Tk,Tamilnadu - 605 111","For the received sample, label is mentioned as ‘Approved colour used’",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Oct-24
82.,Aceclofenac 100mg & Paracetamol 325 mg Tablets (Acejent P),MVT-1528,,Feb-27,"M/s.Bonn Schtering Bio Sciences, Plot No.:64 & 65, 1 st Floor, Electronic Park, Thirubuvanai, Mannadipet Commune, Puducherry-605 107","The sample received is labelled as Aceclofenac 100mg & Paracetamol 325 mg Tablets (Acejent P), however Aceclofenac & Paracetamol Tablets is an official IP monograph (IP Addendum 2024) hence should be labelled as Aceclofenac & Paracetamol Tablets IP.",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Mar-25
83.,Fluoxetine Capsules IP 20mg (Floxros-20 Capsules),SC-24286,,Nov-26,"M/s.For Maxford Healthcare by Stafford Laboratories Pvt. Ltd.,","The label on the innermost container of the received Fluoxetine Capsules IP 20mg,sample does not",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State lab, Puducherry",,,,,Dec-24
,,,,,"143, Ranipur Ind. Area, Bhagwanpur, Roorkee, (UK)","mentioned the ""Manufacturing Licence Number”, which is required to be preceded by the words ""Manufacturing Licence Number' or ""Mfg.Lic.No"" or ""M.L""",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,,,,,,
84.,Mintcool (mouthwash),SOL-1698,,Feb-26,M/s.Symbiosis Pharmaceuticals PvtLtd At .Ovatio Remedies Behind IITT Ergg Collage Trilokpur Road Kala Amb173030(sirmour)HP,Content of Chlorhexidine Gluconate .,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"DTL Baddi, Distt. Solan H.P.",,,,,Mar-24
85.,Cifdoz-500 (Ciprofloxacin Hydrochloride Tablets IP),APGT24513,,Jun-26,"M/s.Alpex Pharma Pvt. Ltd. Vill. Ogli Suketi Road, Kala Amb Distt. Sirmour H.P.",Dissolution of Ciprofloxacin Hydrochloride,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"DTL Baddi, Distt. Solan H.P.",,,,,Jul-27
86.,Mecobalamin 2500mg. (NEROSAFE-XL),324-80,,May-26,"Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences, 3481.1, Ramtara Market, 2nd Floor, Gali Bajrang Bali, Chawri Bazar, Delhi, 110006.",Content of Mecobalamin found to be 2.38 mg per ml (0.095%) against labelled claim of 2500 mg per ml. 1) Manufacturing By not mentioned on the label.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Jul-24
87.,Calcium and Vitamin D3 Tablets IP,MT-25D59,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
88.,Zinc Sulphate Dispersible Tablets IP,MT14501,,Mar-27,"M/s. McW Healthcare (P) Ltd., 286 287A 287B Sector E Industrial Area Sanwer Road Indore 452015 (M.P.)",1. Uniformity Of Dispersion. 2. Disintegration Test (Some of the tablets disintegrates in the range of 4 minute to 7 minute against I.P limit of max. 60 seconds).,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
89.,Zinc Sulphate Dispersible Tablets IP (N/A),MT14501,,Mar-27,"M/s. McW Healthcare (P) Ltd., 286, 287-A, 287-B Sector E, Industrial Area, Sanwer Road, Indore (M.P.) India",1.Disintegration Test (Some of the tablets disintegrated after 4 min against the IP limit of NMT 60 Seconds).Uniformity Of Dispersion,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
90.,TELMISARTAN and AMLODIPINE Tablets IP (Venpres-40 AM),VAM401K,,Oct-26,"M/s.Leeford Healthcare Ltd. Plot No. 5, Apparel Park-cum- Industrial Area, Katha, Baddi, Distt. Solan 173205 (H.P), India",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Nov-24
91.,Calcium and Vitamin D3 Tablets IP,MT-25D60,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419,",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
,,,,,"Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,,,,,,
92.,Calcium and Vitamin D3 Tablets IP,MT-25D57,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
93.,Calcium and Vitamin D3 Tablets IP,MT-25D55,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
94.,Calcium and Vitamin D3 Tablets IP,MT-25D62,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
95.,Calcium and Vitamin D3 Tablets IP,MT-25D63,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
96.,Calcium and Vitamin D3 Tablets IP,MT-25D58,,Mar-27,"M/s.Martin & brown bio-sciences pvt. Ltd, K.No.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
97.,Moxifloxacin 10% Injection (MOX-4TH GEN),SL1220-21,,Dec-26,"Mft. by Not Mentioned Mkd. By M/s Safe Care Life Sciences, 3481.1, Ramtara Market, 2nd Floor, Gali Bajrang Bali, Chawri Bazar, Delhi, 110006.",Manufacturing By not mentioned on the label.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Jan-24
98.,Mecobalamin Tablets (Methycobal),156905,,Dec-27,"M/s.Hilton Pharma (Pvt.) Ltd., Plot No. 13-14, Sector 15, Korangi Industrial Area, Karachi","Nature of Tablets Such as Uncoated, Sugar Coated or Film Coated not Declared on The Label",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Jan-25
99.,Nortriptyline HCI B.P (Sensival 25MG Tablets),926,,Nov-27,"M/s.Pharmedic Laboratories (Pvt.) Ltd., 16km, Multan Road, Lahore","1.) Name Of Colour Added Not Declared On The Strips. 2.) nature of tablets such as uncoated, sugar coated or film coated not declared on the strips.",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Nov-24
100.,Mec obalamin (Neocobal 0.5mg Tablets),7805,,Feb-26,"M/s.Pulse Pharmaceuticals (Pvt.) Ltd., Sua Asil, Raiwind Road Lhore",1) Description. 2) Tablets Are Film Coated Against Labelled Claim of Sugar- Coated Tablets. 3) The Content of Methylcobalamin,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,NM
101.,Calc ium and Vitamin D3 Tablets IP,MT-25D72,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419,",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
102.,Calc ium and Vitamin D3 Tablets IP,MT-25D74,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
103.,Calc ium and Vitamin D3 Tablets IP,MT-25D71,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
104.,Calc ium and Vitamin D3 Tablets IP,MT-25D82,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
105.,Calc ium and Vitamin D3 Tablets IP,MT-25D81,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
106.,Oral Rehydration Salts IP,P25/0228,,Apr-27,"M/s.Samkem, 15-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore-453331 (M.P.)",Net Weight/Sachet found to be 20.392gm against claim of 29.5gm/sachet.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Jan-25
107.,Oral Rehydration Salts IP,P25/0236,,Apr-27,"M/s.Samkem, 15-B, A.K.V.N. Industrial Area, Rangwasa, Rao, Indore-453331 (M.P.)",Net Weight/Sachet found to be 20.286gm against claim of 20.5gm/sachet.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,May-25
108.,Calc ium & Vitamin D3 Tablets I.P,MT-25D56,,Mar-27,"M/s.Martin & Brown Bio-Sciences Pvt. Ltd., K.NO.918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)-173205",Description,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Laboratory, Punjab",,,,,Apr-25
109.,Calg ro-D3 Tablets Calcium and Vitamin D3 tablets,AC.2412,,May-26,"M/s.Twins Pharma Plot No. 106, S V N a g a r , M a l l a p u r - 7 6 . T e l a n g a n a",1. The label should be m e n t i o n e d a s C a l c i u m A n d Vitamin D3 IP. But the letters IP is not mentioned after the product name. 2. Dissolution for Calcium.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Lab, Drugs C o n t r o l L a b o r a t o r y , Telangana.",,,,,Dec-24
110.,Leof enac-TH4 Tablets Aceclofenac & Thiocolchicoside tabets,T 2 5 - 0 5 4,,J a n - 2 7,"M / s . O a k s u n L i f e s c i e n c e s , P l o t n o . 36,37,38,46 & 47, Chengicherla (V), Medipally(M), Medchal- M a l k a j g i r i ( D i s t . ) , T . S . - 5 0 0 0 9 2 Telangana",T h e d r u g f a i l e d t o i n d i c a t e the common name of the Colour used in the Drug on t h e p r o d u c t l a b e l .,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"S t a t e L a b , Drugs Control Laboratory, T e l a n g a n a .",,,,,F e b - 2 5
111.,PYR IL-650 Tablets Paracetamol Tablets IP 650 mg,T 2 5 . 0 3 9,,J a n - 2 7,"M / s . O a k s u n L i f e s c i e n c e s , P l o t n o . 36,37,38,46 & 47, Chengicherla ( V ) , M e d i p a l l y ( M ) , M e d c h a l - Malkajgiri (Dist.), T.S.-500092 Telangana","The product Paracetamol T a b l e t s i s o f f i c i a l i n t h e current edition of the Indian Pharmacopoeia. However, the letters IP is",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"S t a t e L a b , Drugs Control L a b o r a t o r y , Telangana.",,,,,F e b - 2 5
,,,,,,not mentioned on the product title.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,,,,,,
112.,VCE C-P Tablets Aceclofenac and Paracetamol Tablets,T G 2 4 - 2 0 2 8 C,,A u g - 2 6,"M / s A t h e n s L i f e S c i e n c e s M a u z a Rampur, Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",The label should be mentioned as Aceclofenac a n d P a r a c e t a m o l I P . B u t the letter IP is not mentioned after the product name. Aceclofenac and Paracetamol,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"S t a t e L a b , Drugs Control Laboratory, T e l a n g a n a .",,,,,S e p - 2 4
113.,Tonz ee-20 (Zinc Sulphate Tablets IP 20mg),ZS-2405,,Jun-26,"M/s.Torino Laboratories Pvt. Ltd., Fact: Plot No. 65/1, Sector 1, Pithampur – 454775, Dist. Dhar (INDIA).",Disintegration,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"State Drugs Testing Laboratory, Agartala, Tripura.",,,,,Jul-24
114.,Azil ium 200 Suspension,SL-508,,Jan-26,"M/s. SB Lifesciences (An ISO 9001:2015 Certified Co.) Plot no. 32, Sector-6, LLE Pantnagar, Distt. U.S. Nagar, Uttarakhand 263153",Content of Anhydrous Azithromycin,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Feb-24
115.,Azi. XL 200(Azithromycin Oral Suspension IP),GLE0901,,Jul-26,"M/s. Digital Vision 176, Mauza Ogli, Nahan Road, Kala Amb, Dist. Sirmour (H.P) 173030",Content of Anhydrous Azithromycin,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Aug-25
116.,Osoc ip-D Eye/Ear drops Ciprofloxacin & Dexamethasone Eye/Ear drops IP,E240113A,,Dec-25,"M/s. Oscar Remedies Pvt Ltd., Oscar House, Badi Majra Yamuna Nagar 135001",Content of Ciprofloxacin in the sample is more (i.e 943.33% of the labelled amount) than the permissible limits. 2. identification test for the presence of Dexamethasone Sodium Phosphate. 3. The sample gives high performance liquid chromatographic identification test for the presence of Dexamethasone. 4. The content of Dexamthasone in the sample is 0.078% W/V. 5. Name of the sample: Ciprofloxacin & Dexamethasone Eye/Ear drops IP 2022.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Jan-24
117.,"Ceta cin-150, Paracetamol Injection",TGL11230643,,Oct-25,"M/s. T & G Medicare Village Kunjahal, PO Baddi, Distt. Solan",50×2ml intact ambered coloured glass ampules received for the analysis. All the samples contain pink coloured solution.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Nov-24
118.,P.D. Col Eye ointment IP 1% w/w,2023-113,,Jul-25,"M/s. Packsules 45, Keshar Bagh Road, Indore Madhya Pradesh- 452009",Uniformity of Weight.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Aug-23
119.,Regi men Hand Rub Aloevera 70% Alcohol,HSAL0050,,Oct-26,"M/s. Chemstellar Chemicals Pvt Ltd. Plot No. 215, GR. Fl. Steel warehousing Comp. Kalamboli, Panvel, Raigad, Kalamboli-410208","1. The sample gives GC identification test for the presence of Methanol. 2. The sample does not give GC identification test for the presence of Ethanol, 1- Propanol & 2-Propanol. 3. The sample contains 51.80% v/v of Methanol.",,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Oct-24
120.,Lyci tra MK Montelukast with Levocetirizine Dihydrochloride Syrup,D-0241,,Oct-25,"M/s.Animus Healthcare30, Shubhlaxmi, Ind. Estate, Opp Sanket, Estate at Moraiya Ta: Sanand, Ahmedabad-3882213, Gujarat",The content of Montelukast (i.e 17.18% of the labelled amount) is less than the schedule V limit (Schedule V limit- 90%-110% of the labelled amount),,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Nov-23
121.,Osco rcip-D Eye/Ear Drops,E24020A,,Jan-26,"M/s. Oscar Remedies Pvt Ltd., Oscar House, Badi Majra Yamuna Nagar Haryaana 135001",1. The content of Ciprofloxacin in the sample is more (i.e 1023.33% of the labelled amount) than the permissible limits. 2. The sample does not give HPLC identification test for the presence of Dexamethasone sodium phosphate. 3. The sample gives HPLC identification test for the presence of Dexamethasone. 4. The content of Dexamethasone in the sample is 0.066% w/v 5 . Test for the sterility.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Feb-24
122.,Elca res Metronidazole 400(Metronidazole tablets IP 400 mg,MTE-22004,,Jan-26,"M/s. Neutech Healthcare private ltd. E-698 ,DSIDC, Narela, Industrail, Delhi- 110040",Dissolution test.,,NSQ,State Laboratory,STATE NSQ  June -2025.pdf,,,,,,,,,,,,,"FDA Lab , Mumbai",,,,,Feb-23
